predicted_category,confidence,raw_response,tokens_used,model_used,timestamp,status,concatenated_product,true_category,exact_match,partial_match,prompt_name
makeup/eyes-brows/eyebrows,unknown,Category: makeup/eyes-brows/eyebrows,4202,gpt-4o-mini-2024-07-18,2025-08-06T12:30:31.042249,success,"NYX Professional Make Up-Blade and Shade Nano Brow Pencil-Create ultra-defined, natural-looking brows with NYX Professional Makeup Blade and Shade Nano Brow Pencil, a double-ended precision tool for smudge-proof, long-lasting results.Ultra-precise brows made easy!Key Benefits:Dual-ended pencil for precise shaping and soft shading;Ultra-fine nano tip mimics hair-like strokes;Creates laminated brow effect with ease;Smudge-resistant and transfer-proof;Long-lasting wear for up to 16 hours;Easy to use and travel-friendly format.Key Features:Nano-Laminated Tip: delivers razor-thin lines for realistic, hair-like detail.Dual-Sided Design: one side for precision lining, the other for effortless shading.16-Hour Wear: stays put all day without smudging or fading.With its innovative 2-in-1 design, you can sculpt, define, and fill your brows with ease â no extra tools needed. The ultra-slim nano tip creates realistic, hair-like strokes, while the shading side softly fills for a fuller, natural finish. NYX Professional Makeup Blade and Shade Nano Brow Pencil is perfect for anyone looking for smudge-proof, long-lasting results that mimic the look of laminated brows.",makeup/eyes-brows/eyebrows,True,True,prompt_01
skin/global-anti-aging/seruns,unknown,Category: skin/global-anti-aging/seruns,4134,gpt-4o-mini-2024-07-18,2025-08-06T12:30:32.043130,success,"Mizon-Collagen Power Firming Enriched Cream    -Collagen Power Firming Enriched Creamis an anti-aging and anti-wrinkle treatment cream that uses ingredients of natural origin and a high concentration of marine collagen (75%).   For firm and elastic skin!   Its formula was developed to combat the aesthetic changes caused by aging. This cream reduces and prevents the appearance of wrinkles and expression marks.  It provides an important boost in the natural production of collagen that allows the renewal of connective tissues, reinforcement of the capacity of water retention and hydration in the cells, which benefits the epidermis.  It contains hyaluronic acid and various essential oils of camellia, olive and primula. Together, they create a synergistic effect that ensures deep and lasting hydration.  For dry, mature and wrinkled skin. Contains no irritating ingredients such as dyes, artificial fragrances or parabens.",skin/first-signs-age/specific-moisturizers,False,True,prompt_01
skin/cleansers-tonners/sensitive-skin,unknown,Category: skin/cleansers-tonners/sensitive-skin,4169,gpt-4o-mini-2024-07-18,2025-08-06T12:30:33.044368,success,"Numbuzin-No.1 Easy Peasy Cleansing Oil-Melt away makeup, sebum, and impurities effortlessly with Numbuzin No.1 Easy Peasy Cleansing Oil â gentle yet powerful for a refreshed, glowing complexion!Effortless cleansing, radiant skin!Key Benefits:Deep-cleans pores and removes blackheads with 47% corn oil;Reduces sebum by 26.3% and improves pore cleanliness by 94.3% in two weeks;Gentle, hypoallergenic formula â ideal for sensitive skin;Effortlessly dissolves waterproof makeup and fine dust;Lightweight, non-greasy finish for daily use.Active Ingredients:Corn Oil (47%): mimics natural sebum for effective yet gentle cleansing.Macadamia Ternifolia Seed Oil: nourishes and hydrates while removing impurities.Experience powerful cleansing without irritation â with Numbuzin No.1 Easy Peasy Cleansing Oil your skin will feel fresh, soft, and perfectly prepped for skincare!",skin/cleansers-tonners/combination-to-oily-skin,False,True,prompt_01
skin/cleansers-tonners/combination-to-oily-skin,unknown,Category: skin/cleansers-tonners/combination-to-oily-skin,4072,gpt-4o-mini-2024-07-18,2025-08-06T12:30:34.044852,success,"Klorane-Aquatic Mint 3 in 1 Purifying Powder -Aquatic mint purifying powder 3 in 1 helps cleanse, exfoliate and purify the skin.   Perfect for mixed-oily skin!   Provides an authentic feeling of lasting freshness and cleanliness while maintaining the skin s natural balance.  Combines 2 active ingredients for its recognized properties:   	BIO aquatic mint with antioxidant and detoxifying properties; 	Clay with seballow properties   Its fresh and light texture with 96% of ingredients of natural origin.",skin/oiliness-acne-pores/essences-preparing-lotions,False,True,prompt_01
mom-baby/first-years/first-teeth,unknown,Category: mom-baby/first-years/first-teeth,4091,gpt-4o-mini-2024-07-18,2025-08-06T12:30:35.045271,success,"Isdin-Babynaturals Gum Gel for the First Teeth -The appearencefrom the first little teeth can be very uncomfortable for baby.  In order to refresh and soften the irritation from the oral mucosa, ISDIN developed the Babynaturalsgum gel for the first teeth.   Soothing and reepitelizing action...for more smiles and less crying.   Promote healing and reduce topical inflammation;while the flavored bioadhesive excipients ensures a perfect positioning of the gel on the oral mucosa as well as the acceptance fromthe baby.  With a long lasting effect and flavor of fruits of the forest.  Sugar, alcohol and glutenfree.",mom-baby/first-years/first-teeth,True,True,prompt_01
mom-baby/maternity-essentials/strollers-accessories,unknown,Category: mom-baby/maternity-essentials/strollers-accessories,4116,gpt-4o-mini-2024-07-18,2025-08-06T12:30:36.046405,success,"MomCozy-Organizer Bag-Discover Momcozy Stroller Organizer Bag â a stylish, high-capacity essential designed for effortless outings with your baby.Stay Organized, Stroll in Style!Key Benefits:Fits most stroller brands &amp; handlebar types2 insulated cup holders for bottles or coffeeZippered pocket for phones, keys &amp; valuablesEasy, tool-free installationFoldable with full VelcroComes with universal stroller strapsAdjustable shoulder strap for grab-and-go useMomcozy Stroller Organizer Bag transforms daily walks into seamless adventures. With ample storage, smart compartments, and universal compatibility, it's the ultimate parenting sidekick. Whether youâre heading to the park or on-the-go errands, this chic and practical organizer keeps everything at your fingertips.",mom-baby/maternity-essentials/strollers-accessories,True,True,prompt_01
men/shaving/after-shave,unknown,Category: men/shaving/after-shave,4076,gpt-4o-mini-2024-07-18,2025-08-06T12:30:37.049243,success,"444-Hemostatic After Shave Block, Antiseptic and Astringent -The most complicatedbeards and often shaved may cause slight injuries and redness.   To stop bleeding from small cuts and soften the skin!   The Hemostatic after shave block and pencil are formulated in mineral bar, made of natural aluminum and potassium, which contain hemostatic properties, that instantly stagnate small bleeds, while providing an antiseptic and astringent action to tone the skin and close the pores after shaving.  A portuguese ancestral care that stays in the memory of all the men of the family ;)",men/shaving/shaving,False,True,prompt_01
hair/volume,unknown,Category: hair/volume,4073,gpt-4o-mini-2024-07-18,2025-08-06T12:30:38.049718,success,"LOreal Professionnel-Tecni.ART Volume Rootlift Mousse-Achieve effortless, weightless volume with Tecni.ART Volume Rootlift, a precision spray foam designed to lift roots and transform fine, flat hair.Lift your roots, unleash your style!Key Benefits:Controlled root lift for long-lasting volumeLightweight formula for flexible, natural movementIdeal for all hair types, including fine or straight hairWhy Choose It:<br>Tecni.ART Volume Rootlift delivers professional-grade results by boosting volume at the roots while keeping lengths light and bouncy. Perfect for anyone seeking fuller, more dynamic hairstyles effortlessly.",hair/styling,False,True,prompt_01
body/beauty-tech,unknown,body/beauty-tech,3846,gpt-4o-mini-2024-07-18,2025-08-06T12:30:39.949450,success,"Terpenic-Diffuser Pulse-The Diffuser Pulse utilizes ultrasonic water vaporization technology with chromotherapy and BLUETOOTH, enabling the diffusion of a wide range of essential oils or synergies, creating a refreshing and aromatic mist that aids in ionizing the environment while restoring humidity levels.Immerse yourself in the therapeutic world of chromotherapy and set the ambiance with your favorite music.By simply adding a few drops of essential oil to the water reservoir, the micronization and subsequent nebulization process disperse the aroma throughout the room, effectively humidifying dry spaces. You have the flexibility to select your preferred color at any moment or opt for the dynamic variable color mode.Whether you wish to choose a specific color or enjoy the shifting hues, the Pulse Diffuser offers a harmonious experience. What's more, you can effortlessly sync your smartphone to Pulse, allowing you to unwind as the diffuser synchronizes its illuminations with the rhythm of the Terpenic playlist on Spotify #terpenic_moments.Operates between 1.5h to 4h.",health-care/nebulizers,False,False,prompt_reasoning_classification
mom-baby/after-birth/breast-feeding,unknown,mom-baby/after-birth/breast-feeding,3814,gpt-4o-mini-2024-07-18,2025-08-06T12:30:42.270162,success,"MomCozy-Adjustable Pillow-Discover Momcozy Adjustable Pregnancy and Nursing Pillowâyour ultimate solution for pain-free, hands-free breastfeeding support. A baby registry essential loved by moms.Comfort, Connection, and Care!Key Benefits:Encourages better posture, reducing shoulder and neck strainEnlarged side wings for full-arm supportAdjustable waist strap for a secure, customized fitBuilt-in safety fence prevents baby from rollingPerfect for nursing, propping, tummy time and sittingGrows with your baby (0â9+ months)Ideal for moms and family members assisting in feedingMomcozy Adjustable Pregnancy and Nursing Pillow is more than a support toolâit's a must-have for modern motherhood. With thoughtful design, all-around comfort, and practical versatility, it transforms feeding time into a pain-free, hands-free bonding experience.",mom-baby/maternity-essentials/strollers-accessories,False,True,prompt_reasoning_classification
hair/shampoo,unknown,hair/shampoo,3732,gpt-4o-mini-2024-07-18,2025-08-06T12:30:44.680462,success,"Haan-Hair Shampoo-The sulfate-free Hair Shampoo cares for your hair from root to tip.Its prebiotic formula nourishes the beneficial bacteria on your scalp, promoting stronger hair growth!Enjoy the delightful Morning Glory fragrance, featuring subtle floral notes with a seductive grapefruit base. With its convenient 60 mL size, this shampoo can accompany you on your journey, whether it's from home to your destination or anywhere in between. Take care of your hair no matter where you go with this travel-friendly option.",hair/dry-damaged-hair/shampoo,False,True,prompt_reasoning_classification
skin/moisturisers/firming-care,unknown,skin/moisturisers/firming-care,3764,gpt-4o-mini-2024-07-18,2025-08-06T12:30:48.552001,success,"La Prairie-Skin Caviar Luxe Cream Sheer -Skin Caviar Luxe Cream Sheeris anindulgent lifting andfirming cream with caviar extracts,with a light and delicate texture.   A light texture that leaves the skin extraordinarily soft!     The now-renewed formula with the introduction of Caviar Premier provides hydration, nourishment, and a powerful firming action with an extraordinary lifting effect never seen before. It contains even three more forms of caviar: Caviar Water, Caviar Extract and Caviar Absolute.  The skin looks more supported, smooth and firm, with a greater sense of firmness and elasticity.",skin/loss-firmness/specific-moisturizers,False,True,prompt_reasoning_classification
skin/cleansers-tonners/dry-skin,unknown,skin/cleansers-tonners/dry-skin,3827,gpt-4o-mini-2024-07-18,2025-08-06T12:30:50.388852,success,"Clarins-Soothing Gentle Foaming Cleanser-Discover CLARINS Soothing Gentle Foaming Cleanser, a soothing foaming cleanser for dry skin. Cleanse, comfort, and hydrate with natureâs finest ingredients.Experience pure comfort and cleanliness from the heart of the Alps!Key Benefits:Soothes and comforts dry skinPerfectly cleanses and removes makeupPreserves skin's natural balanceHydrates with organic shea butterReduces discomfort with organic chamomile extractActive Ingredients:Organic Shea Butter: deep hydrationOrganic Chamomile Extract: comfort and sootheMoringa Extract: pollution particle eliminationClarins [Complexe Douceur]: Yellow Gentian and Lemon Balm extractsCLARINS Soothing Gentle Foaming Cleanser is a must-have for anyone seeking a luxurious, eco-friendly skincare solution that offers unparalleled comfort, cleanliness, and hydration. Add this to your beauty routine for radiant, perfectly balanced skin every day.",skin/cleansers-tonners,False,True,prompt_reasoning_classification
skin/masks-exfoliators/exfoliating,unknown,skin/masks-exfoliators/exfoliating,3781,gpt-4o-mini-2024-07-18,2025-08-06T12:30:52.317920,success,"Mesoestetic-Glycolic +E + F Ampoules-Glicolic + E + F ampoules | An intensive weekly treatment, for all skin types, that speeds up skin renewal!  Its concentrated formula accelerates cell renewal to reduce visible imperfections on the surface of the skin (wrinkles, spots, pores, dull skin, uneven texture, etc.).   Effective exfoliating action and an ideal dermal tolerance!   It is presented in lightweight, quick-absorbing individual ampoules containing the optimum amount of ingredients for each application.  Its dark glass shape, packaged in a sterile atmosphere, provides maximum safety and ensures that the properties of the formula are perfectly preserved over time.",skin/dark-spots/seruns,False,True,prompt_reasoning_classification
skin/moisturisers/anti-ageing,unknown,skin/moisturisers/anti-ageing,3805,gpt-4o-mini-2024-07-18,2025-08-06T12:30:54.174980,success,"Dermalogica-Biolumin-C Gel Moisturizer-Biolumin-C Gel Moisturizer is suitable for all skin types, especially for those concerned about fine lines, wrinkles, hyperpigmentation, and loss of firmness and elasticity.A daily moisturizer that offers lightweight hydration and enhances skin radiance, promoting a healthy complexion!It features a highly-stable Vitamin C complex with advanced re-activation biotechnology, increasing bioavailability for brighter skin and improved barrier defense.The formula is enriched with antioxidants, Squalane, and five types of Hyaluronic Acid, providing essential hydration and minimizing the appearance of fine lines and wrinkles. Additionally, the inclusion of Verbascum Thapsus Flower Extract offers an instant brightening effect. With the presence of Phytic Acid and Pumpkin Enzymes, which possess exfoliating properties, it supports natural skin renewal.",skin/dark-spots/specific-moisturizers,False,True,prompt_reasoning_classification
skin/cleansers-tonners/normal-skin,unknown,skin/cleansers-tonners/normal-skin,3819,gpt-4o-mini-2024-07-18,2025-08-06T12:30:56.317295,success,"Dermagius-Hyaluage Micelar Water-Discover Dermagius Hyaluage Micellar Water â the ultimate 2-in-1 solution for deep cleansing and hydration, perfect for all skin types.Cleanse deeply, hydrate effortlessly!Key Benefits:Effective Cleansing: Removes makeup, impurities, and residue without irritation.Hydration Boost: Plant-based Hyaluronic Acid locks in moisture and enhances skin elasticity.Soothing Action: Aloe Vera calms, refreshes, and reduces skin sensitivity.Gentle for All: Non-oily formula suitable for all skin types, including sensitive skin and eye areas.Active Ingredients: Plant-Based Hyaluronic Acid and Aloe Vera.Dermagius Hyaluage Micellar Water delivers the perfect balance of effective cleansing and skin care. Ideal for everyday use, it keeps your skin fresh, hydrated, and radiant. A must-have addition to any beauty routine!",skin/cleansers-tonners/normal-skin,True,True,prompt_reasoning_classification
health-care/diabetics,unknown,health-care/diabetics,3922,gpt-4o-mini-2024-07-18,2025-08-06T12:30:58.710219,success,"Akileine-Akildia Multi-Protective Cream for Diabetic Feet-The diabetic has secondary problems due to theand altered glucose (sugar)concentrations in the blood. One of the consequences is theemergence andaggravation of circulatory problems and desensitization onthe ends of the members.  The foot is part of the end the leg and with the evolution of the disease is poorly irrigated and loses sensibility.  Sometimes diabetics make small wounds on the feet and may not feel.  On the other hand the insufficient blood supply turns wound healingslower and more difficult.  Thus, a diabetic should avoid having his feet exposed, preventing injuries and dryness that can lead to calluses and cracks.   - Akildia - The importance of protecting the diabetic foot!   Akildia was developed to handle thedaily moisture ofdiabetic foot, protecting the skin of aggressions, preventing dehydration and fighting against Hyperkeratosis (hard, dry skin).  Also promotes and restores the hydrolipidic skin barrier, favouring cell renewal.   In its composition contains:   	glycerine and fatty acids - moisturizing and protective agents; 	 	asian spark and shea butter - healing agents; 	 	vitamin A palmitate - regenerating agent 	 	palmitoyl lipoamino&aacute;cido caseinico - agent strengthens skin defences.",health-care/diabetics,True,True,prompt_reasoning_classification
hair/conditioner/dry-damaged-hair,unknown,hair/conditioner/dry-damaged-hair,3856,gpt-4o-mini-2024-07-18,2025-08-06T12:31:01.066242,success,"Some by Me-Cica Peptide Derma Scalp Conditioner-Nourish and soothe your scalp with SOME BY MI Cica Peptide Derma Scalp Conditioner, enriched with CICA, peptides, and biotin for healthier, shinier hair.Strengthen roots, soothe your scalp, shine naturally!Key Benefits:Hydrates and nourishes dry, brittle hair;Soothes sensitive, irritated, or oily scalps;Helps prevent hair loss and strengthens hair roots;Smooths and detangles for manageable, shiny hair;Removes impurities and dead skin cells.Active Ingredients:Centella Asiatica &amp; Madecassoside: soothe scalp irritation and promote regeneration.Salicylic Acid (BHA): cleanses scalp impurities and removes dead skin cells.Biotin: strengthens hair and supports growth.Green Tea Extract: protects with antioxidants, offers anti-inflammatory benefits.Peptides: boost collagen for a fortified hair structure.Transform your hair care routine with this deeply nourishing treatment SOME BY MI Cica Peptide Derma Scalp Conditioner designed for healthier, stronger, and beautifully radiant hair.",hair/contitioner/hair-loss,False,True,prompt_reasoning_classification
supplements-vitamins/digestive-health,unknown,supplements-vitamins/digestive-health,3819,gpt-4o-mini-2024-07-18,2025-08-06T12:31:03.954806,success,"Dr Vegan-Debloat and Detox Food Supplement-Revitalize your digestive health and reduce bloating naturally with Dr. Vegan Debloat and Detoxâa powerful blend of botanicals and amino acids for detoxification and liver support.<i>Banish bloat and lighter naturally!</i>Key Benefits:Eases digestive bloating, especially after mealsRemoves toxins naturally from the liver and bodyDaily liver support with a unique botanical blendAll-natural ingredients, free from additives and fillersActive Ingredients:<br>Milk Thistle, Fennel, Dandelion Root, Burdock, Artichoke, L-Glutamine, Schisandra Berry.Dr. Vegan Debloat and Detox is the perfect addition to any beauty routine, supporting a flatter, more comfortable stomach while promoting natural detoxification. With its expert blend of botanicals, this daily formula ensures you feel your best from the inside out.",health-care/nutrition,False,False,prompt_reasoning_classification
body/exfoliators,unknown,body/exfoliators,3779,gpt-4o-mini-2024-07-18,2025-08-06T12:31:05.904072,success,"Payot-Rituel Douceur Exfoliating Body Granita-Payot Rituel Douceur Exfoliating Body Granita is a gentle body scrub that reveals the skin's natural light.Removes impurities and reveals luminous skin!Enriched with Rose Quartz Microcrystals and Argan Bark,Rituel Douceur Exfoliating Body Granita doubly exfoliates the skin in the perfect amount to remove impurities and dead skin cells and reveal soft, luminous skin.Suitable for all skin types, it reveals the skin's natural light while immersing the body and mind in a ""bubble"" of well-being.The dual botanical and mineral formula with 85% naturally derived ingredients is gentle and effective on the skin.",body/exfoliators,True,True,prompt_reasoning_classification
makeup/eyes-brows/eyebrows,unknown,makeup/eyes-brows/eyebrows,3887,gpt-4o-mini-2024-07-18,2025-08-06T12:31:07.965413,success,"NYX Professional Make Up-Blade and Shade Nano Brow Pencil-Create ultra-defined, natural-looking brows with NYX Professional Makeup Blade and Shade Nano Brow Pencil, a double-ended precision tool for smudge-proof, long-lasting results.Ultra-precise brows made easy!Key Benefits:Dual-ended pencil for precise shaping and soft shading;Ultra-fine nano tip mimics hair-like strokes;Creates laminated brow effect with ease;Smudge-resistant and transfer-proof;Long-lasting wear for up to 16 hours;Easy to use and travel-friendly format.Key Features:Nano-Laminated Tip: delivers razor-thin lines for realistic, hair-like detail.Dual-Sided Design: one side for precision lining, the other for effortless shading.16-Hour Wear: stays put all day without smudging or fading.With its innovative 2-in-1 design, you can sculpt, define, and fill your brows with ease â no extra tools needed. The ultra-slim nano tip creates realistic, hair-like strokes, while the shading side softly fills for a fuller, natural finish. NYX Professional Makeup Blade and Shade Nano Brow Pencil is perfect for anyone looking for smudge-proof, long-lasting results that mimic the look of laminated brows.",makeup/eyes-brows/eyebrows,True,True,prompt_reasoning_classification
skin/global-anti-aging/specific-moisturizers,unknown,skin/global-anti-aging/specific-moisturizers,3821,gpt-4o-mini-2024-07-18,2025-08-06T12:31:09.942550,success,"Mizon-Collagen Power Firming Enriched Cream    -Collagen Power Firming Enriched Creamis an anti-aging and anti-wrinkle treatment cream that uses ingredients of natural origin and a high concentration of marine collagen (75%).   For firm and elastic skin!   Its formula was developed to combat the aesthetic changes caused by aging. This cream reduces and prevents the appearance of wrinkles and expression marks.  It provides an important boost in the natural production of collagen that allows the renewal of connective tissues, reinforcement of the capacity of water retention and hydration in the cells, which benefits the epidermis.  It contains hyaluronic acid and various essential oils of camellia, olive and primula. Together, they create a synergistic effect that ensures deep and lasting hydration.  For dry, mature and wrinkled skin. Contains no irritating ingredients such as dyes, artificial fragrances or parabens.",skin/first-signs-age/specific-moisturizers,False,True,prompt_reasoning_classification
skin/cleansers-tonners/normal-skin,unknown,skin/cleansers-tonners/normal-skin,3853,gpt-4o-mini-2024-07-18,2025-08-06T12:31:12.351665,success,"Numbuzin-No.1 Easy Peasy Cleansing Oil-Melt away makeup, sebum, and impurities effortlessly with Numbuzin No.1 Easy Peasy Cleansing Oil â gentle yet powerful for a refreshed, glowing complexion!Effortless cleansing, radiant skin!Key Benefits:Deep-cleans pores and removes blackheads with 47% corn oil;Reduces sebum by 26.3% and improves pore cleanliness by 94.3% in two weeks;Gentle, hypoallergenic formula â ideal for sensitive skin;Effortlessly dissolves waterproof makeup and fine dust;Lightweight, non-greasy finish for daily use.Active Ingredients:Corn Oil (47%): mimics natural sebum for effective yet gentle cleansing.Macadamia Ternifolia Seed Oil: nourishes and hydrates while removing impurities.Experience powerful cleansing without irritation â with Numbuzin No.1 Easy Peasy Cleansing Oil your skin will feel fresh, soft, and perfectly prepped for skincare!",skin/cleansers-tonners/combination-to-oily-skin,False,True,prompt_reasoning_classification
skin/cleansers-tonners/combination-to-oily-skin,unknown,skin/cleansers-tonners/combination-to-oily-skin,3756,gpt-4o-mini-2024-07-18,2025-08-06T12:31:14.243185,success,"Klorane-Aquatic Mint 3 in 1 Purifying Powder -Aquatic mint purifying powder 3 in 1 helps cleanse, exfoliate and purify the skin.   Perfect for mixed-oily skin!   Provides an authentic feeling of lasting freshness and cleanliness while maintaining the skin s natural balance.  Combines 2 active ingredients for its recognized properties:   	BIO aquatic mint with antioxidant and detoxifying properties; 	Clay with seballow properties   Its fresh and light texture with 96% of ingredients of natural origin.",skin/oiliness-acne-pores/essences-preparing-lotions,False,True,prompt_reasoning_classification
mom-baby/first-years/first-teeth,unknown,mom-baby/first-years/first-teeth,3775,gpt-4o-mini-2024-07-18,2025-08-06T12:31:15.909685,success,"Isdin-Babynaturals Gum Gel for the First Teeth -The appearencefrom the first little teeth can be very uncomfortable for baby.  In order to refresh and soften the irritation from the oral mucosa, ISDIN developed the Babynaturalsgum gel for the first teeth.   Soothing and reepitelizing action...for more smiles and less crying.   Promote healing and reduce topical inflammation;while the flavored bioadhesive excipients ensures a perfect positioning of the gel on the oral mucosa as well as the acceptance fromthe baby.  With a long lasting effect and flavor of fruits of the forest.  Sugar, alcohol and glutenfree.",mom-baby/first-years/first-teeth,True,True,prompt_reasoning_classification
mom-baby/first-years/feeding-accessories,unknown,mom-baby/first-years/feeding-accessories,3798,gpt-4o-mini-2024-07-18,2025-08-06T12:31:17.772435,success,"MomCozy-Organizer Bag-Discover Momcozy Stroller Organizer Bag â a stylish, high-capacity essential designed for effortless outings with your baby.Stay Organized, Stroll in Style!Key Benefits:Fits most stroller brands &amp; handlebar types2 insulated cup holders for bottles or coffeeZippered pocket for phones, keys &amp; valuablesEasy, tool-free installationFoldable with full VelcroComes with universal stroller strapsAdjustable shoulder strap for grab-and-go useMomcozy Stroller Organizer Bag transforms daily walks into seamless adventures. With ample storage, smart compartments, and universal compatibility, it's the ultimate parenting sidekick. Whether youâre heading to the park or on-the-go errands, this chic and practical organizer keeps everything at your fingertips.",mom-baby/maternity-essentials/strollers-accessories,False,True,prompt_reasoning_classification
men/shaving/after-shave,unknown,men/shaving/after-shave,3760,gpt-4o-mini-2024-07-18,2025-08-06T12:31:19.508030,success,"444-Hemostatic After Shave Block, Antiseptic and Astringent -The most complicatedbeards and often shaved may cause slight injuries and redness.   To stop bleeding from small cuts and soften the skin!   The Hemostatic after shave block and pencil are formulated in mineral bar, made of natural aluminum and potassium, which contain hemostatic properties, that instantly stagnate small bleeds, while providing an antiseptic and astringent action to tone the skin and close the pores after shaving.  A portuguese ancestral care that stays in the memory of all the men of the family ;)",men/shaving/shaving,False,True,prompt_reasoning_classification
hair/volume/seruns-leave-in,unknown,hair/volume/seruns-leave-in,3763,gpt-4o-mini-2024-07-18,2025-08-06T12:31:21.232647,success,"LOreal Professionnel-Tecni.ART Volume Rootlift Mousse-Achieve effortless, weightless volume with Tecni.ART Volume Rootlift, a precision spray foam designed to lift roots and transform fine, flat hair.Lift your roots, unleash your style!Key Benefits:Controlled root lift for long-lasting volumeLightweight formula for flexible, natural movementIdeal for all hair types, including fine or straight hairWhy Choose It:<br>Tecni.ART Volume Rootlift delivers professional-grade results by boosting volume at the roots while keeping lengths light and bouncy. Perfect for anyone seeking fuller, more dynamic hairstyles effortlessly.",hair/styling,False,True,prompt_reasoning_classification
